portfolio_id,project_id,section_reference,category,section,subsection,cost_related,docu_txt
231,246073,1.1,Property Description,GENERAL PROPERTY DATA - EXECUTIVE SUMMARY TABLE,,False,ADA-designated parking count - Property Data is One
231,246073,3.1,Property Characteristics,Parcel Configuration,,False,"Acreage is and comprised approximately 6.21 acres., Acreage source is Tarrant County Appraisal District"
231,246073,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",False,"ADA (including van spaces) is including one ADA-designated space,"
231,246073,5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,False,"Accessory Area Heating Type is Accessory areas such as mechanical rooms and vestibules were heated by ceiling-hung unit heaters., There is an Spread Reserve cost item regarding Split-system furnace/fan coil, Replace for total unit of 2 EA that have 10 years remaining useful life with total cost of 7000.0 dollars, year 10 costs $3500.0, year 11 costs $3500.0., There is an Spread Reserve cost item regarding Split-system condenser, Replace for total unit of 6 TON that have 5 years remaining useful life with total cost of 7200.0 dollars, year 5 costs $3600.0, year 6 costs $3600.0., There is an Spread Reserve cost item regarding HVAC package unit (RTU), Replace for total unit of 20 TON that have 3 years remaining useful life with total cost of 24000.0 dollars, year 3 costs $6000.0, year 4 costs $6000.0, year 5 costs $6000.0, year 6 costs $6000.0."
231,246073,4.3.1,,,,,"There is an Single-year event Reserve cost item regarding Exterior cleaning, painting, sealing for total unit of 50000 SF that have 8 years remaining useful life with total cost of 50000.0 dollars, year 8 costs $50000.0."
231,246073,5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,,"Accessory Area Heating Type is Accessory areas such as mechanical rooms and vestibules were heated by ceiling-hung unit heaters., There is an Spread Reserve cost item regarding Split-system furnace/fan coil, Replace for total unit of 2 EA that have 10 years remaining useful life with total cost of 7000.0 dollars, year 10 costs $3500.0, year 11 costs $3500.0., There is an Spread Reserve cost item regarding Split-system condenser, Replace for total unit of 6 TON that have 5 years remaining useful life with total cost of 7200.0 dollars, year 5 costs $3600.0, year 6 costs $3600.0., There is an Spread Reserve cost item regarding HVAC package unit (RTU), Replace for total unit of 20 TON that have 3 years remaining useful life with total cost of 24000.0 dollars, year 3 costs $6000.0, year 4 costs $6000.0, year 5 costs $6000.0, year 6 costs $6000.0."
231,246479,3.1,Property Characteristics,Parcel Configuration,,False,"Acreage is and comprised approximately 0.40 acres., Acreage source is (per the Guilford tax assessor)"
231,246479,4.3.1,,,,,"There is an Single-year event Reserve cost item regarding Exterior cleaning, painting, sealing for total unit of 15000 SF that have 5 years remaining useful life with total cost of 15000.0 dollars, year 5 costs $15000.0."
231,246479,4.4.1,,,,,"There is an Single-year event Reserve cost item regarding Roof replacement - EPDM for total unit of 12000 SF that have 5 years remaining useful life with total cost of 72000.0 dollars, year 5 costs $72000.0."
231,246479,5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,,"There is an Single-year event Reserve cost item regarding HVAC package unit (RTU), Replace for total unit of 67.5 TON that have 5 years remaining useful life with total cost of 81000.0 dollars, year 5 costs $81000.0."
231,246038,1.1,Property Description,GENERAL PROPERTY DATA - EXECUTIVE SUMMARY TABLE,,False,ADA-designated parking count - Property Data is Five standard ADA accessible spaces
231,246038,3.1,Property Characteristics,Parcel Configuration,,False,"Acreage is and comprised approximately 12 acres., Acreage source is (per the Butler County tax assessor)"
231,246038,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",False,"ADA (including van spaces) is five, There is an Single-year event Reserve cost item regarding Asphalt seal coat & striping for total unit of 75000 SF that have 4 years remaining useful life with total cost of 9000.0 dollars, year 4 costs $9000.0, year 9 costs $9000.0."
231,246038,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",,"ADA (including van spaces) is five, There is an Single-year event Reserve cost item regarding Asphalt seal coat & striping for total unit of 75000 SF that have 4 years remaining useful life with total cost of 9000.0 dollars, year 4 costs $9000.0, year 9 costs $9000.0."
231,246038,4.3.1,,,,,"There is an Single-year event Reserve cost item regarding Exterior cleaning, painting, sealing for total unit of 10000 SF that have 7 years remaining useful life with total cost of 10000.0 dollars, year 7 costs $10000.0."
231,246480,1.1,Property Description,GENERAL PROPERTY DATA - EXECUTIVE SUMMARY TABLE,,False,ADA-designated parking count - Property Data is 46 standard ADA accessible spaces
231,246480,3.1,Property Characteristics,Parcel Configuration,,False,"Acreage is and comprised approximately 78.81 acres., Acreage source is (per the Washoe County tax assessor)"
231,246480,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",False,"ADA (including van spaces) is 46, There is an Single-year event Reserve cost item regarding Asphalt seal coat & striping for total unit of 1258000 SF that have 3 years remaining useful life with total cost of 150960.0 dollars, year 3 costs $150960.0, year 8 costs $150960.0."
231,246480,3.2.2,Property Characteristics,Site Improvements,"Vehicular Access, Paving",,"ADA (including van spaces) is 46, There is an Single-year event Reserve cost item regarding Asphalt seal coat & striping for total unit of 1258000 SF that have 3 years remaining useful life with total cost of 150960.0 dollars, year 3 costs $150960.0, year 8 costs $150960.0."
231,246480,4.3.1,,,,,"There is an Single-year event Reserve cost item regarding Exterior cleaning, painting, sealing for total unit of 250000 SF that have 5 years remaining useful life with total cost of 250000.0 dollars, year 5 costs $250000.0."
231,246480,4.4.1,,,,,"There is an Single-year event Reserve cost item regarding Roof replacement  for total unit of 125000 SF that have 2 years remaining useful life with total cost of 750000.0 dollars, year 2 costs $750000.0."
231,246480,5.2,Mechanical and Electrical Systems,"Heating, Ventilation, and Air Conditioning (HVAC)",,,"There is an Spread Reserve cost item regarding HVAC package unit (RTU), Replace for total unit of 40 TON that have 5 years remaining useful life with total cost of 48000.0 dollars, year 5 costs $9600.0, year 6 costs $9600.0, year 7 costs $9600.0, year 8 costs $9600.0, year 9 costs $9600.0."
231,246480,5.4.1,,,,,"There is an Single-year event Reserve cost item regarding Elevator cabs interiors, Replace for total unit of 5 EA that have 5 years remaining useful life with total cost of 50000.0 dollars, year 5 costs $50000.0., There is an Single-year event Reserve cost item regarding Elevator mechanical systems, Modernize for total unit of 10 STOP that have 5 years remaining useful life with total cost of 150000.0 dollars, year 5 costs $150000.0."
