id,name,created_at,updated_at,a_column,b_column,c_column,d_column,e_column,f_column,g_column,h_column,i_column,j_column,k_column,l_column,m_column,n_column,o_column,p_column,q_column,r_column,s_column,t_column,u_column,v_column,tab_name,content_type,the_cell,project_id,spreadsheet_name,user_id,three_months,year_1,year_2,year_3,year_4,year_5,year_6,year_7,year_8,year_9,year_10,year_11,year_12,year_3_thru_12,year_1_thru_12,w_column,x_column,y_column,z_column,aa_column,ab_column,short_term,total,section_reference,building_id,year_13,year_14,year_15,year_16,year_17,year_18,year_19,year_20,year_21,year_22,year_23,year_24,year_25,year_26,year_27,year_28,year_29,year_30,year_31,year_32,year_33,year_34,year_35,year_36,year_37,year_38,year_39,year_40,year_41,year_42,year_43,year_44,year_45,year_46,year_47,year_48,year_49,year_50,edited_years,project_scope_id
1958709,Long-term,2023-04-13 16:37:17,2023-04-13 21:32:47,4.3.1,"Exterior cleaning, painting, sealing (after table 1)",8,0,8,24950,SF,1.6,,Single-year event,0,0,,,,,,,,,,,,,,526963,,1013.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39920.0,0.0,0.0,0.0,0.0,39920.0,39920.0,,,,,,pca_reserve_desc_53b,,39920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1958908,Long-term,2023-04-13 21:56:02,2023-04-14 19:43:05,4.4.1,"Replace, skylights",15,13,2,12,EA,3500,,Single-year event,,,,,,,,,,,,,,,,526963,,1013.0,,0.0,42000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42000.0,,,,,,pca_reserve_desc_18b,,42000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1963904,Long-term,2023-04-27 21:34:27,2023-05-02 20:56:28,4.4.1,Annual roof maintenance including coating of corrugated metal awnings. ,1.0,0,1.0,24886,SF,.1,,Single-year event,,,,,,,,,,,,,,,,526963,,2473.0,,2488.6,2488.6,2488.6,2488.6,2488.6,2488.6,2488.6,2488.6,2488.6,2488.6,2488.6,2488.6,24886.0,29863.2,,,,,,pca_reserve_desc_18b,,29863.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1958433,Long-term,2023-04-12 19:34:10,2023-04-27 22:40:13,3.2.2,"Asphalt seal coat & striping (after table 1 proposed repairs, seal coat and striping)",5,0,5.0,14300,SF,.5,,Single-year event,0,0,,,,,,,,,,,,,,526963,,1013.0,,0.0,0.0,0.0,0.0,7150.0,0.0,0.0,0.0,0.0,7150.0,0.0,0.0,14300.0,14300.0,,,,,,pca_reserve_desc_50b,,14300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1963916,Long-term,2023-04-27 21:47:34,2023-04-27 22:40:13,4.3.1,Repair and maintenance of loading dock doors and equipment. ,20.0,10,10.0,4,EA,5000,,Single-year event,,,,,,,,,,,,,,,,526963,,2473.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,20000.0,20000.0,,,,,,pca_reserve_desc_53b,,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1958662,Short-term,2023-04-13 15:43:34,2023-04-27 21:17:19,6.4,The internal water intrusion includes areas of damaged carpet and possible gypsum board. Repair and replacement of all water damaged interior elements is recommended (waterproofing budget). ,Immediate (0-12 months),1,EA,5000,5000.0,0.0,,,,,,,,,,,,,,,,,,526963,,1013.0,,,,,,,,,,,,,,,,,,,,,64ab_conddesc,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1958708,Short-term,2023-04-13 16:35:05,2023-04-13 21:32:47,4.3.1,"There was reported and observed water intrusion along the east elevation central and southeast walls, and the southern walls, near the fire riser. The total east walls were mainly at the window areas. There were cracks on the walls where the water intrusion was located. The central east wall intrusion was at both the grade level and the upper mezzanine level. The southeast and south elevation intrusion was at grade level. Repair of the damage areas to include windows sealant replacement (Waterproofing Budget).

",Immediate (0-12 months),1,LS,10000,10000.0,0.0,,,,,,,,,,,,,,,,,,526963,,1013.0,,,,,,,,,,,,,,,,,,,,,describe_facade_issues_in_complete_sentences_43,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1958513,Short-term,2023-04-12 21:33:52,2023-05-02 20:52:26,5.2,"The package units had indications of wear.  Per discussion with the maintenance/contractor, replacement is planned. Additionally based on the subject's general location to the ocean, acceleration of exposure to the elements has reduced the units EUL. Replacement of the HVAC package units is recommended. ",Short-term (12-24 months),15,Ton,2600,0.0,39000.0,,,,,,,,,,,,,,,,,,526963,,1013.0,,,,,,,,,,,,,,,,,,,,,52c_pu_conddesc,,39000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1958796,Short-term,2023-04-13 19:08:51,2023-04-13 21:32:47,5.1,"There was a broken discharge pipe at the south elevation of the structure. It is recommended that the broken pipe be repaired. 
",Immediate (0-12 months),1,EA,250,250.0,0.0,,,,,,,,,,,,,,,,,,526963,,1013.0,,,,,,,,,,,,,,,,,,,,,51ac_conddesc,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
1965122,Short-term,2023-05-02 20:36:00,2023-05-02 20:43:02,2.3,"According to a report from the Oxnard Fire Department, the Fire Alarm at 1401 Steller Drive is overdue for inspection, last renewal date 4/3/21. The inspection should be performed by a licensed company and the test results should be submitted to the City of Oxnard.",Immediate (0-12 months),1,EA,1500,1500.0,0.0,,,,,,,,,,,,,,,,,,526963,,949.0,,,,,,,,,,,,,,,,,,,,,23e_fire_life_safety_findings,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509309.0
