section_reference,category,section,subsection,cost_related,docu_txt
1.1,Property Description,GENERAL PROPERTY DATA - EXECUTIVE SUMMARY TABLE,,False,"Net rentable area (sf) is 24,950, Property use is Industrial, Number of floors is One with mezzanine, Land Acreage (acres) - Property data for Executive Summary is 1.45, Year built source is (per the Ventura County tax assessor), Number of buildings is One, Number of Elevators #1 - Property Data is None provided, Fire suppression (primary) - Property Data is Wet-pipe sprinkler system, fire extinguishers, chemical fire suppression system, HVAC System - Property data for Executive Summary is Package, Facade(primary) - Property Data is Painted concrete tilt-up wall panels, Parking Space Count - Property Data is 55, Foundation/Substructure (type) - Property Data is Concrete slab-on-grade over spread footings, Van-designated parking count - Property data is of which two were van designated, Superstructure(roof) part 1 - property data is Wood beams with plywood platform, Superstructure part 1 - Property Data is Concrete tilt-wall panels at perimeters, interior steel pier supports, Net rentable area source is (per the rent roll dated April 2023), Approximate Percentage of Parcel Occupied by Improvements is 100%, Gross area source is (per the Ventura County tax assessor), Number of tenant spaces (If applicable) is One, Year built is 1999, Electrical Branch Wiring - Property data for Executive Summary is Copper, Parking Area - Property Data is Asphalt paved surface lots, ADA-designated parking count - Property Data is Four ADA designated spaces, Additional comments about the land acreage: is (per the Ventura County tax assessor), Water Supply Piping - Property data for Executive Summary is Copper, Gross building area (sf) is 26,913, Roof Type(primary) part 1 - Property data is Flat, built-up roofing with granular-surfaced modified bitumen cap sheet, Fire Alarm - Property Data is Central system with local notification"
1.10,Property Description,SUSPECT CONDITIONS,,False,"Were any suspect conditions determined to warrant further investigation? is During the observations at the subject property, the following suspect conditions were determined to warrant further investigation. Further detail of the issues observed is provided in the following sections of the report."
1.11,Property Description,CAPITAL IMPROVEMENTS,,False,Were recent or planned capital improvements reported by property management? is yes
1.2,Property Description,BUILDING SUMMARY TABLE,,False,Add building summary table? is no
1.3,Property Description,CLIENT INFO,,False,"Client State is California, Client Company is GK Management Co., Inc, Client Zip is 90230, Does the client require a professional stamp? is no, Client First Name is Jason, Client Last Name is Mandler, Client Address is 5150 Overland Avenue, Client City is Culver City"
1.4,Property Description,EXPECTED USEFUL LIFE,,False,EUL Statement is no
1.5,Property Description,OVERALL CONDITION,,False,"Overall condition of the subject property is Based on the systems and components observed during the site visit, the subject property appeared to be in good to poor condition., Overall level of preventative maintenance is The overall level of preventative maintenance appeared to be good to poor. The detailed observations of reviewed systems are presented in the following Sections of this report, with tabulated opinions of cost presented in the tables below."
1.6,Property Description,PROJECT INFO,,False,"Project Address is 1401 Stellar Dr, Report Due Date is May 2, 2023, Project City is Oxnard, Project State is California, Project County is Ventura, Project Zip is 93033, Project Name is O940 Oxnard-Rose Holdings, LLC - Commercial, Project Number is 22-392561.27"
1.7,Property Description,RELATIONSHIP MANAGER INFO,,False,"Relationship Manager Email is lchurchill@partneresi.com., Relationship Manager Last Name is Churchill, Relationship Manager Phone is at 310-765-7271 or, Relationship Manager First Name is Lyly, Relationship Manager Title is National Client Manager"
1.8,Property Description,REVIEWER INFO,,False,"Reviewer First Name is Chris, Reviewer Last Name is Link, Reviewer Title is Project Manager"
