id,project_id,document_spot,the_data,section_reference,question_number,section_order,type
41240751,526963,1n_additional_investigations_desc,Foil insulation was noted at the roof structure: this should be inspected for structural damage (rust of subpurlin hangers) and cut back to allow for air movement/drainage of any condensation. ,1,132,63,PcaReportDataItem
38476464,526963,322a_cost_table_type,,3.2.2,32,2,PcaReportDataItem
38476480,526963,3210m_cost_action_item,,3.2.10,78,10,PcaReportDataItem
38476568,526963,655y_cost_action_item,,6.5.5,48,43,PcaReportDataItem
38476627,526963,doc_1h_summary_cool_4,,1,999,63,PcaReportDataItem
38476486,526963,3212b_cost_action_item,,3.2.12,27,11,PcaReportDataItem
38476680,526963,8r_water_mold,,1.0,18,63,PcaReportDataItem
38476619,526963,1q_summary_heat,,1,999,63,PcaReportDataItem
38476670,526963,1j_deviation,,1.0,10,63,PcaReportDataItem
38476560,526963,63p_cost_table_type,,6.3,99,38,PcaReportDataItem
38476587,526963,1z_summary_beds,,1,36,63,PcaReportDataItem
38476534,526963,54p_cost_table_type,,5.4.1,99,23,PcaReportDataItem
38476543,526963,542w_cost_table_type,,5.4.2,99,23,PcaReportDataItem
38476481,526963,3210p_cost_table_type,,3.2.10,79,10,PcaReportDataItem
38476649,526963,01p_client_state,California,1,14,63,PcaReportDataItem
38476678,526963,3_2_8p_exterior_lights,,1.0,16,63,PcaReportDataItem
38476624,526963,doc_1e_summary_heat_5,,1,999,63,PcaReportDataItem
38476477,526963,328m_cost_action_item,,3.2.8,8,8,PcaReportDataItem
38476632,526963,65p_cost_table_type,,6.5.2,23,99,PcaReportDataItem
38476466,526963,323m_cost_action_item,,3.2.3,30,3,PcaReportDataItem
38476579,526963,1g_summary_net_rentable,24950,1,32,63,PcaReportDataItem
38476571,526963,1a_summary_property_use,Industrial,1,24,63,PcaReportDataItem
38476575,526963,1d_summary_floor_num,One with mezzanine,1,28,63,PcaReportDataItem
38476572,526963,1b_summary_acres,1.45,1,25,63,PcaReportDataItem
38476578,526963,1ea_summary_yb_source,(per the Ventura County tax assessor),1,31,63,PcaReportDataItem
38476574,526963,1c_summary_building_num,1,1,27,63,PcaReportDataItem
39879995,526963,31c,1.45,3.1,3,0,PcaReportDataItem
40181434,526963,42b_horzconst,"[""Mezzanine: Steel-framed and metal grating""]",4.2,3,13,PcaReportDataItem
40180796,526963,3211c,N/A ,3.2.11,3,11,PcaReportDataItem
39878822,526963,31b,Rectangular,3.1,2,0,PcaReportDataItem
40187054,526963,552ab_alrmconddesc,An annual fire alarm certification tag was not present at the fire alarm control panel. Servicing and recertification of the fire alarm system is recommended. An opinion of cost for this work is included in Table 1.,5.5.2,59,32,PcaReportDataItem
38476603,526963,1p_summary_secroof1,,1,49,63,PcaReportDataItem
38476545,526963,551w_cost_table_type,,5.5.1,31,32,PcaReportDataItem
38476511,526963,52e_cs_ctt,,5.2,4,21,PcaReportDataItem
38476623,526963,doc_1d_summary_heat_4,,1,999,63,PcaReportDataItem
38476614,526963,1u_summary_elev_4,,1,61,63,PcaReportDataItem
38476644,526963,01i_client_company,"GK Management Co., Inc",1,8,63,PcaReportDataItem
38476650,526963,01q_client_zip,90230,1,15,63,PcaReportDataItem
38476679,526963,7q_accessibility,,1.0,17,63,PcaReportDataItem
38476561,526963,64m_cost_action_item,,6.4,99,39,PcaReportDataItem
38476666,526963,1e_exec_sum,,1.0,5,63,PcaReportDataItem
38476529,526963,541_distinct_elevator_types,,5.4.1,2,23,PcaReportDataItem
38476552,526963,55p_cost_table_type,,5.5.2,61,32,PcaReportDataItem
38476611,526963,1u_summary_elev_1,,1,58,63,PcaReportDataItem
38476527,526963,53p_cost_table_type,,5.3,52,22,PcaReportDataItem
38476478,526963,329p_cost_table_type,,3.2.9,59,9,PcaReportDataItem
38476634,526963,70p_cost_table_type,,7,25,99,PcaReportDataItem
38476596,526963,1k_summary_roof_deck,,1,44,63,PcaReportDataItem
38476508,526963,51p_cost_table_type,,5.1,49,20,PcaReportDataItem
38476604,526963,1pp_summary_secroof2,,1,50,63,PcaReportDataItem
38476557,526963,62m_cost_action_item,,6.2,99,37,PcaReportDataItem
38476522,526963,52f_pac_cai,,5.2,5,21,PcaReportDataItem
38476540,526963,number_of_similar_elevators_4_541,,5.4.1.4,27,23,PcaReportDataItem
38476485,526963,3212a_cost_table_type,,3.2.12,15,11,PcaReportDataItem
38476638,526963,01b_project_address,1401 Stellar Dr,1,3,63,PcaReportDataItem
38476615,526963,1u_summary_elev_5,,1,62,63,PcaReportDataItem
38476719,526963,23b_zoning_contact,"Dee Lai, Assistant City Clerk",2.3,14,61,PcaReportDataItem
38476677,526963,2_3o_regulatory,,1.0,15,63,PcaReportDataItem
38476654,526963,01x_rm_email,lchurchill@partneresi.com,1,22,63,PcaReportDataItem
38476717,526963,23d_fire_life_safety_violations,No Violations,2.3,10,61,PcaReportDataItem
38476558,526963,62p_cost_table_type,,6.2,99,37,PcaReportDataItem
38476597,526963,2j_summary_beds_comment,,1,44,63,PcaReportDataItem
38476626,526963,doc_1g_summary_cool_3,,1,999,63,PcaReportDataItem
38476500,526963,44p_cost_table_type,,4.4.1,26,17,PcaReportDataItem
38476520,526963,52f_pu_cai,,5.2,5,21,PcaReportDataItem
38476475,526963,327m_cost_action_item,,3.2.7,11,7,PcaReportDataItem
